"ITTER107","Territorio","TIPO_DATO15","Tipo dato","SEXISTAT1","Sesso","CAUSEMORTE_SL","Causa iniziale di morte - European Short List","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","DEATH","morti","9","totale","1_2","aids (malattia da hiv)","2012","2012",881,,
"IT","Italia","DEATH","morti","9","totale","1_2","aids (malattia da hiv)","2013","2013",773,,
"IT","Italia","DEATH","morti","9","totale","1_2","aids (malattia da hiv)","2014","2014",722,,
"IT","Italia","DEATH","morti","9","totale","1_2","aids (malattia da hiv)","2015","2015",704,,
"IT","Italia","DEATH","morti","9","totale","1_2","aids (malattia da hiv)","2016","2016",460,,
"IT","Italia","DEATH","morti","2","femmine","1_2","aids (malattia da hiv)","2003","2003",269,,
"IT","Italia","DEATH","morti","2","femmine","1_2","aids (malattia da hiv)","2004","2004",241,,
"IT","Italia","DEATH","morti","2","femmine","1_2","aids (malattia da hiv)","2005","2005",243,,
"IT","Italia","DEATH","morti","2","femmine","1_2","aids (malattia da hiv)","2006","2006",215,,
"IT","Italia","DEATH","morti","2","femmine","1_2","aids (malattia da hiv)","2007","2007",206,,
"IT","Italia","DEATH","morti","2","femmine","1_2","aids (malattia da hiv)","2008","2008",210,,
"IT","Italia","DEATH","morti","2","femmine","1_2","aids (malattia da hiv)","2009","2009",197,,
"IT","Italia","DEATH","morti","2","femmine","1_2","aids (malattia da hiv)","2010","2010",197,,
"IT","Italia","DEATH","morti","2","femmine","1_2","aids (malattia da hiv)","2011","2011",190,,
"IT","Italia","DEATH","morti","2","femmine","1_2","aids (malattia da hiv)","2012","2012",203,,
"IT","Italia","DEATH","morti","2","femmine","1_2","aids (malattia da hiv)","2013","2013",173,,
"IT","Italia","DEATH","morti","2","femmine","1_2","aids (malattia da hiv)","2014","2014",161,,
"IT","Italia","DEATH","morti","2","femmine","1_2","aids (malattia da hiv)","2015","2015",168,,
"IT","Italia","DEATH","morti","2","femmine","1_2","aids (malattia da hiv)","2016","2016",112,,
"IT","Italia","DEATH","morti","2","femmine","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2003","2003",6431,,
"IT","Italia","DEATH","morti","2","femmine","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2004","2004",6745,,
"IT","Italia","DEATH","morti","2","femmine","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2005","2005",6836,,
"IT","Italia","DEATH","morti","2","femmine","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2006","2006",7210,,
"IT","Italia","DEATH","morti","2","femmine","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2007","2007",7509,,
"IT","Italia","DEATH","morti","2","femmine","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2008","2008",7743,,
"IT","Italia","DEATH","morti","2","femmine","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2009","2009",8044,,
"IT","Italia","DEATH","morti","2","femmine","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2010","2010",8277,,
"IT","Italia","DEATH","morti","2","femmine","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2011","2011",8580,,
"IT","Italia","DEATH","morti","2","femmine","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2012","2012",8653,,
"IT","Italia","DEATH","morti","2","femmine","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2013","2013",8884,,
"IT","Italia","DEATH","morti","2","femmine","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2014","2014",9209,,
"IT","Italia","DEATH","morti","2","femmine","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2015","2015",9570,,
"IT","Italia","DEATH","morti","2","femmine","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2016","2016",9779,,
